gcnalign_random	30	20	40	20	[10.895 22.343 27.152 39.219 44.924]	1590.654	0.164719
gcnalign_random	20	20	30	10	[ 9.858 21.417 26.75  39.867 45.817]	1753.688	0.156216
gcnalign_random	40	0	40	0	[19.967 37.111 44.122 58.278 64.411]	780.404	0.281838
gcnalign_random	30	40	30	0	[ 9.99  20.362 24.933 36.39  41.724]	1891.814	0.151032
gcnalign_random	30	0	10	40	[16.4   31.695 39.343 54.581 61.629]	816.355	0.239241
gcnalign_random	40	10	40	0	[16.944 32.3   38.667 52.4   58.311]	1002.913	0.243002
gcnalign_random	30	30	0	0	[18.067 35.038 42.019 56.505 61.781]	1116.872	0.262032
gcnalign_random	20	50	10	40	[ 4.775 11.117 14.308 22.783 27.433]	2716.725	0.080831
gcnalign_random	30	0	40	30	[12.914 25.533 31.057 44.838 52.038]	1106.062	0.191923
gcnalign_random	40	30	20	20	[15.211 29.433 35.3   46.978 52.578]	1207.872	0.219971
gcnalign_random	40	10	40	30	[15.278 27.956 33.267 46.267 52.567]	1112.783	0.215193
gcnalign_random	10	50	10	0	[ 4.489 11.415 15.    25.615 30.867]	2916.129	0.080925
gcnalign_random	30	30	20	30	[10.571 21.562 26.59  38.524 44.267]	1649.833	0.159874
gcnalign_random	40	0	10	10	[29.078 51.133 58.711 73.267 78.811]	406.250	0.393072
gcnalign_random	20	30	30	0	[ 8.567 19.417 24.425 36.2   41.875]	2024.146	0.139346
gcnalign_random	30	40	40	30	[ 6.829 14.114 17.467 26.619 31.924]	2218.203	0.105572
gcnalign_random	40	10	20	0	[24.956 44.333 51.778 66.033 71.411]	686.668	0.341350
gcnalign_random	40	0	30	20	[21.633 39.489 46.544 61.1   67.133]	655.518	0.301203
gcnalign_random	10	30	40	0	[ 2.985  7.978 11.015 19.207 24.03 ]	3249.080	0.056652
gcnalign_random	20	20	30	20	[ 9.258 19.775 24.717 36.833 42.942]	1845.183	0.145099
gcnalign_random	30	40	10	30	[ 9.6   21.133 26.162 38.486 44.438]	1622.740	0.152677
gcnalign_random	50	50	10	0	[15.787 31.213 37.2   49.933 55.44 ]	1027.176	0.231433
gcnalign_random	30	30	40	40	[ 7.01  14.352 17.886 27.381 32.571]	2132.831	0.107585
